ActCode,ActDescription,ShortName,Active
BNS,"Bharatiya Nyaya Sanhita, 2023",BNS,1
IPC,"Indian Penal Code, 1860",IPC,1
NDPS,"Narcotic Drugs and Psychotropic Substances Act, 1985",NDPS Act,1
POCSO,"Protection of Children from Sexual Offences Act, 2012",POCSO,1
MVACT,"Motor Vehicles Act, 1988",MV Act,1
ARMS,"Arms Act, 1959",Arms Act,1
ITACT,"Information Technology Act, 2000",IT Act,1
DPACT,"Dowry Prohibition Act, 1961",DP Act,1
EXCISE,"Karnataka Excise Act, 1965",Excise Act,1
BNSS,"Bharatiya Nagarik Suraksha Sanhita, 2023",BNSS,1
