CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,376,1,1
1,BNS,74,2,2
1,BNS,63,2,3
2,BNSS,194,1,1
3,BNS,115,1,1
4,BNS,80,1,1
5,BNS,126,1,1
6,BNS,117,1,1
7,BNS,74,1,1
7,DPACT,4,2,2
7,IPC,304B,3,3
8,IPC,302,1,1
9,BNS,117,1,1
9,BNS,115,1,2
10,BNSS,194,1,1
11,ITACT,66D,1,1
11,ITACT,66C,1,2
12,POCSO,12,1,1
12,POCSO,4,1,2
13,BNS,309,1,1
13,BNS,316,1,2
13,IPC,392,2,3
14,BNS,309,1,1
14,IPC,379,2,2
14,IPC,392,2,3
15,POCSO,8,1,1
15,POCSO,4,1,2
16,BNS,316,1,1
16,BNS,310,1,2
17,BNSS,194,1,1
18,BNS,305,1,1
19,BNS,126,1,1
20,BNS,318,1,1
20,IPC,420,2,2
21,IPC,420,1,1
22,ITACT,66D,1,1
23,BNS,351,1,1
24,ITACT,66C,1,1
25,ITACT,66C,1,1
26,ITACT,66C,1,1
27,POCSO,12,1,1
28,BNS,351,1,1
28,BNS,126,1,2
29,NDPS,21,1,1
30,IPC,420,1,1
30,BNS,318,2,2
30,BNS,316,2,3
31,BNS,126,1,1
32,POCSO,8,1,1
33,BNS,109,1,1
34,BNSS,194,1,1
35,BNSS,194,1,1
35,IPC,307,2,2
35,BNS,103,3,3
36,IPC,304B,1,1
37,BNS,351,1,1
37,BNS,126,1,2
38,BNSS,194,1,1
39,NDPS,20,1,1
40,BNS,316,1,1
41,ITACT,66C,1,1
42,BNS,109,1,1
42,BNS,103,1,2
42,IPC,307,2,3
43,POCSO,12,1,1
43,POCSO,4,1,2
44,BNS,316,1,1
44,BNS,305,1,2
45,IPC,498A,1,1
46,BNS,63,1,1
47,BNS,316,1,1
48,ITACT,66C,1,1
48,ITACT,66,1,2
49,IPC,498A,1,1
49,BNS,74,2,2
49,BNS,80,2,3
50,BNS,316,1,1
51,IPC,420,1,1
52,BNS,103,1,1
52,BNS,115,1,2
53,IPC,307,1,1
54,BNS,351,1,1
55,BNS,74,1,1
56,IPC,420,1,1
57,POCSO,4,1,1
58,BNS,310,1,1
58,IPC,392,2,2
58,BNS,309,1,3
59,BNS,310,1,1
60,ITACT,66,1,1
61,IPC,498A,1,1
61,BNS,80,2,2
62,POCSO,4,1,1
62,POCSO,12,1,2
63,IPC,379,1,1
63,BNS,310,2,2
64,BNS,117,1,1
64,IPC,307,2,2
64,BNS,115,1,3
65,DPACT,3,1,1
66,BNS,109,1,1
66,IPC,302,2,2
67,ITACT,66C,1,1
68,BNS,318,1,1
68,IPC,420,2,2
68,BNS,316,1,3
69,BNS,316,1,1
69,IPC,420,2,2
70,BNSS,194,1,1
71,IPC,376,1,1
71,IPC,354,1,2
72,BNSS,194,1,1
73,ITACT,66C,1,1
74,BNS,63,1,1
75,IPC,420,1,1
76,ARMS,27,1,1
77,BNSS,194,1,1
78,BNS,316,1,1
78,BNS,318,1,2
79,ITACT,66,1,1
79,ITACT,66C,1,2
79,ITACT,66D,1,3
80,BNSS,194,1,1
81,BNSS,194,1,1
82,BNSS,194,1,1
83,ITACT,66,1,1
84,IPC,302,1,1
85,BNS,63,1,1
85,IPC,498A,2,2
