ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,3,1,2023-08-01,1,14,29,248,6,2,1,0
2,4,1,2026-05-15,1,29,46,445,1,4,1,0
3,8,1,2024-12-18,1,18,34,305,3,9,1,0
4,11,1,2024-12-27,1,1,5,8,,13,1,0
5,12,2,2024-03-06,1,12,27,219,12,14,1,1
6,14,1,2024-02-28,1,1,6,31,4,20,1,0
7,15,1,2026-03-19,1,4,18,119,,21,1,0
8,16,1,2026-03-16,1,15,31,266,18,23,1,0
9,18,1,2026-03-02,1,13,28,229,15,24,1,0
10,19,1,2023-07-27,1,1,10,23,,25,1,0
11,20,1,2024-05-15,1,1,2,56,1,28,1,0
12,21,1,2025-04-28,1,28,45,434,18,29,1,0
13,22,1,2025-10-02,1,1,13,51,15,30,1,0
14,23,1,2023-06-19,1,6,20,148,10,31,1,0
15,25,1,2024-01-12,1,9,23,172,,37,1,0
16,26,2,2023-06-18,1,3,17,105,,38,1,0
17,27,1,2024-08-06,1,9,23,171,,40,1,0
18,28,1,2024-03-07,1,1,7,40,,41,1,0
19,30,1,2023-07-17,1,1,5,58,19,47,1,0
20,31,1,2023-11-23,1,5,19,135,,50,1,0
21,32,1,2023-11-10,1,19,35,321,11,51,1,0
22,36,1,2023-09-13,1,5,19,138,10,55,1,0
23,37,1,2024-06-25,1,24,41,398,,57,1,0
24,40,1,2025-03-20,1,1,5,19,9,61,1,1
25,41,1,2025-02-11,1,27,44,423,20,62,1,0
26,44,1,2023-09-14,1,1,5,23,,65,1,0
27,45,2,2023-02-12,1,13,28,231,,67,1,0
28,46,1,2023-11-16,1,13,28,223,10,68,1,0
29,47,1,2023-08-24,1,28,45,439,19,69,1,0
30,48,1,2023-03-28,1,2,16,65,19,71,1,0
31,49,1,2026-04-02,1,7,21,155,16,72,1,0
32,51,1,2024-11-14,1,1,2,53,,74,1,0
33,52,1,2025-10-08,1,29,46,457,6,75,1,0
34,53,1,2026-02-21,1,1,9,14,17,77,1,0
35,54,2,2026-04-19,1,30,47,468,,78,1,0
36,56,1,2025-10-23,1,6,20,145,,81,1,0
37,57,1,2025-11-30,1,1,6,22,15,82,1,0
38,59,1,2025-08-04,1,28,45,441,15,85,1,0
