CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,2,2023-10-03 00:00:00,C,46
2,4,2026-06-16 00:00:00,B,447
3,6,2025-12-06 00:00:00,C,196
4,12,2024-05-13 00:00:00,A,219
5,14,2024-05-24 00:00:00,A,4
6,15,2026-05-27 00:00:00,A,121
7,17,2024-09-14 00:00:00,C,304
8,19,2023-11-03 00:00:00,A,25
9,20,2024-09-20 00:00:00,A,26
10,21,2025-08-12 00:00:00,A,434
11,22,2026-01-24 00:00:00,A,49
12,25,2024-03-08 00:00:00,A,178
13,26,2023-11-14 00:00:00,A,98
14,27,2024-12-08 00:00:00,A,177
15,28,2024-06-13 00:00:00,A,16
16,31,2024-02-23 00:00:00,C,136
17,32,2024-03-06 00:00:00,A,321
18,33,2026-04-02 00:00:00,C,106
19,36,2024-02-10 00:00:00,B,131
20,37,2024-10-28 00:00:00,A,396
21,38,2026-05-14 00:00:00,C,34
22,40,2025-07-08 00:00:00,A,28
23,41,2025-04-22 00:00:00,C,431
24,44,2023-12-30 00:00:00,A,13
25,46,2024-03-08 00:00:00,A,228
26,47,2023-10-14 00:00:00,A,435
27,48,2023-09-04 00:00:00,A,93
28,51,2025-03-05 00:00:00,A,60
29,52,2026-01-25 00:00:00,A,447
30,54,2026-06-02 00:00:00,A,463
31,56,2026-01-19 00:00:00,C,141
32,57,2026-04-13 00:00:00,C,54
33,62,2025-06-27 00:00:00,A,35
34,64,2024-09-08 00:00:00,C,172
35,66,2024-11-20 00:00:00,A,54
36,69,2023-08-13 00:00:00,A,380
37,73,2025-01-11 00:00:00,A,56
38,74,2026-06-06 00:00:00,A,427
39,75,2025-07-08 00:00:00,A,49
40,78,2026-04-02 00:00:00,A,2
41,84,2026-06-19 00:00:00,A,215
42,85,2025-01-14 00:00:00,A,346
43,87,2025-12-27 00:00:00,A,50
44,91,2024-08-03 00:00:00,A,407
45,93,2025-08-23 00:00:00,A,42
46,94,2026-07-08 00:00:00,C,135
47,95,2025-08-17 00:00:00,A,352
48,104,2025-12-01 00:00:00,A,469
49,105,2024-11-26 00:00:00,A,381
50,108,2023-08-03 00:00:00,B,419
51,110,2023-11-23 00:00:00,C,480
52,113,2024-05-16 00:00:00,C,187
53,114,2025-09-18 00:00:00,A,227
54,115,2025-11-16 00:00:00,A,40
55,116,2025-05-13 00:00:00,A,281
56,117,2024-10-23 00:00:00,A,27
57,118,2025-11-04 00:00:00,A,432
