CrimeSubHeadID,CrimeHeadID,CrimeHeadName,SeqID
1,1,Murder,1
2,1,Attempt to Murder,2
3,1,Grievous Hurt,3
4,1,Hurt,4
5,2,Robbery,1
6,2,Dacoity,2
7,2,House Break-in / Theft,3
8,2,Motor Vehicle Theft,4
9,2,Criminal Breach of Trust,5
10,3,Rape,1
11,3,Molestation / Outraging Modesty,2
12,3,Dowry Death,3
13,3,Cruelty by Husband/Relatives,4
14,3,Sexual Harassment,5
15,4,POCSO Offences,1
16,4,Child Kidnapping,2
17,5,Cheating & Fraud,1
18,5,Criminal Breach of Trust (Financial),2
19,5,Counterfeiting,3
20,6,Online Financial Fraud,1
21,6,Identity Theft,2
22,6,Cyberstalking,3
23,6,Hacking / Unauthorized Access,4
24,7,Rioting,1
25,7,Unlawful Assembly,2
26,8,NDPS (Narcotics),1
27,8,Excise Act Violation,2
28,8,Arms Act Violation,3
29,1,Unnatural Death / Suspicious Death (Inquest),5
