JunctionID,ArrestSurrenderID,AccusedMasterID
1,1,2
2,2,4
3,2,3
4,3,9
5,3,10
6,4,13
7,4,12
8,5,14
9,6,20
10,6,18
11,6,19
12,7,21
13,7,22
14,8,23
15,9,24
16,10,25
17,10,26
18,10,27
19,11,28
20,12,29
21,13,30
22,14,31
23,14,33
24,14,34
25,14,32
26,15,37
27,16,38
28,16,39
29,17,40
30,18,41
31,18,42
32,18,44
33,18,43
34,19,47
35,20,50
36,20,48
37,20,49
38,21,51
39,22,55
40,22,54
41,23,57
42,23,56
43,23,59
44,23,58
45,24,61
46,25,62
47,26,65
48,26,66
49,27,67
50,28,68
51,29,69
52,29,70
53,30,71
54,31,72
55,32,74
56,33,75
57,33,76
58,34,77
59,35,78
60,35,79
61,36,81
62,37,82
63,38,85
64,38,84
65,39,90
66,40,92
67,40,91
68,41,101
69,41,100
70,42,105
71,42,104
72,43,106
73,44,109
74,44,108
75,45,110
76,46,115
77,46,116
78,47,117
79,47,118
80,48,119
81,49,121
82,49,122
83,50,120
84,51,123
85,52,124
86,53,127
87,54,128
88,55,130
89,55,129
90,56,131
91,57,132
92,58,137
93,59,140
94,59,139
95,60,141
96,61,145
97,62,147
98,62,146
99,63,157
100,64,161
101,64,162
102,64,158
103,65,160
104,65,159
105,66,163
106,67,164
107,68,165
108,68,166
109,69,167
110,70,171
111,71,173
112,71,175
113,71,176
114,71,174
115,71,177
116,72,178
117,73,180
118,74,181
119,75,183
120,76,185
121,77,186
122,78,187
123,79,188
124,79,189
125,80,191
126,80,192
127,81,194
128,81,193
129,82,199
130,82,198
131,82,196
132,82,197
133,83,200
134,84,201
135,85,205
136,85,206
137,86,207
138,87,215
139,88,217
140,88,216
141,89,218
142,90,219
143,91,220
144,92,225
145,92,226
146,93,229
147,93,228
148,94,234
149,94,233
150,95,235
151,96,236
152,97,237
153,98,241
154,98,243
155,99,242
156,100,245
157,100,246
158,101,247
159,101,248
160,102,250
161,103,251
162,104,252
163,104,253
164,105,254
165,105,255
166,106,256
167,107,257
168,108,264
169,109,268
170,110,273
171,111,275
172,111,276
173,111,277
174,111,278
175,111,274
176,112,281
177,113,282
178,114,289
179,114,288
180,114,287
181,114,290
182,115,291
183,116,295
184,117,297
185,118,298
186,119,310
187,120,311
188,121,313
189,121,312
190,122,320
191,122,321
192,123,322
193,124,325
194,124,326
195,125,327
196,126,328
197,127,329
198,128,330
199,129,331
200,130,333
201,130,332
202,131,336
203,132,337
204,132,338
205,133,341
206,133,339
207,134,340
208,135,346
209,135,345
210,136,355
211,136,356
212,137,357
213,137,358
214,138,359
215,138,360
216,139,362
217,140,363
218,140,364
219,141,368
220,142,370
221,142,369
222,143,373
223,144,375
224,145,377
225,145,376
226,146,378
227,146,379
228,147,388
229,147,387
230,147,389
231,148,385
232,148,386
233,149,393
234,149,392
235,150,394
236,150,395
237,151,397
238,152,398
239,153,399
240,154,403
241,155,406
242,155,405
243,156,411
244,157,412
245,158,413
246,159,414
247,160,418
248,160,417
249,161,420
250,162,421
251,162,422
252,163,424
253,163,423
254,164,427
255,164,425
256,164,426
257,165,434
258,165,435
259,166,437
260,166,438
261,167,439
262,168,440
263,169,441
264,170,442
265,171,449
266,172,452
267,173,453
268,174,456
269,175,463
270,175,462
271,176,464
272,177,471
273,178,474
274,178,473
275,179,477
276,180,485
277,181,486
278,181,487
279,182,489
280,182,488
281,183,492
282,184,496
283,184,499
284,184,498
285,184,500
286,184,497
287,185,502
288,186,503
289,187,505
290,187,506
291,188,504
292,189,508
293,189,509
294,190,513
295,190,514
296,190,516
297,190,512
298,190,515
299,191,518
300,191,519
301,192,522
302,192,520
303,192,523
304,193,521
305,194,526
306,194,524
307,194,525
308,195,532
309,195,531
310,195,533
311,196,534
312,197,537
313,198,539
314,198,538
315,199,541
316,199,540
317,200,542
318,201,548
319,202,549
320,203,550
321,204,551
322,204,552
323,205,553
324,206,554
325,207,556
326,208,557
327,209,561
328,210,562
329,211,563
330,212,564
331,213,567
332,214,571
333,215,573
334,215,572
335,216,577
336,217,579
337,217,580
338,218,583
339,219,585
340,219,584
341,220,586
342,221,590
343,221,593
344,221,592
345,221,591
346,222,594
347,223,595
348,224,596
349,225,603
350,226,604
351,227,606
352,227,605
353,228,610
354,228,609
355,229,613
356,230,614
357,231,616
358,231,615
359,232,617
360,233,618
361,234,623
362,234,622
363,235,621
364,236,624
365,237,630
366,238,631
367,238,634
368,238,632
369,239,633
370,240,637
371,241,638
372,242,639
373,243,640
